Year,Factory_Name,Producto,Unidad,Month,Quantity
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Volumen de leche recibida,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),"Leche pasteurizada 3,0 % m.g.",Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),"Leche pasteurizada 2,5 % m.g.",Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche pasteurizada descremada,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche esterilizada entera,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche esterilizada semidescremada,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche esterilizada descremada,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche esterilizada con sabor,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo,Leche en polvo,Enero,Leche en polvo
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo 28 % m.g.,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo 26 % m.g.,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo 18 % m.g.,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo 20 % m.g.,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo 12 % m.g.,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche en polvo descremada,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Total leche en polvo,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Otros productos lácteos,Otros productos lácteos,Enero,Otros productos lácteos
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Yogur,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche cultivada,Litros,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Quesillos,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Quesos,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Crema,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Mantequilla,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Suero en polvo,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche condensada,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Manjar,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche modificada,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Leche evaporada,Kilos,Enero,0
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Fuente: elaborado por Odepa en base a antecedentes proporcionados por las plantas lecheras.,Fuente: elaborado por Odepa en base a antecedentes proporcionados por las plantas lecheras.,Enero,Fuente: elaborado por Odepa en base a antecedentes proporcionados por las plantas lecheras.
2023,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Fuente: elaborado por Odepa en base a antecedentes proporcionados por las plantas lecheras.,Fuente: elaborado por Odepa en base a antecedentes proporcionados por las plantas lecheras.,Enero,Fuente: elaborado por Odepa en base a antecedentes proporcionados por las plantas lecheras.
2023,CAMPO LINDO - Río Negro (Los Lagos),Volumen de leche recibida,Litros,Enero,0
2023,CAMPO LINDO - Río Negro (Los Lagos),"Leche pasteurizada 3,0 % m.g.",Litros,Enero,0
